"","ppid","trialn","TruePos","FalseNeg","FalsePos","TrueNeg","TotalResponses","Perc_Correct","meanRT","stdRT"
"1",1,0,1,0,1,11,13,0.923076923076923,0.916430541456464,NA
"2",1,1,7,2,0,4,13,0.846153846153846,0.976862769500009,0.119250216931672
"3",1,2,8,2,2,1,13,0.692307692307692,0.90106025426361,0.266338851054649
"4",1,3,9,2,1,2,14,0.785714285714286,0.880313521555337,0.213348623816942
"5",1,4,0,0,0,13,13,1,NA,NA
"6",1,5,4,0,0,9,13,1,1.00718110418759,0.267531675639484
"7",1,6,4,1,0,8,13,0.923076923076923,0.852002694951587,0.188358765275308
"8",1,7,6,2,1,4,13,0.769230769230769,0.990657420680596,0.187681425787236
"9",1,8,6,2,1,5,14,0.785714285714286,0.904553345280713,0.146522907974354
"10",1,9,5,2,2,4,13,0.692307692307692,0.848853724922367,0.0950472538351932
"11",1,10,4,1,1,7,13,0.846153846153846,0.961520797280642,0.276792583594548
"12",1,11,9,2,1,0,12,0.75,0.859369523133561,0.140034059536698
"13",1,12,2,0,1,10,13,0.923076923076923,0.907144610051546,0.247456776370306
"14",1,13,4,0,0,9,13,1,0.803021089626185,0.264714468749945
"15",1,14,7,0,0,7,14,1,0.685256683832246,0.108233119599364
"16",1,15,8,3,0,1,12,0.75,0.758534843448011,0.197408346321841
"17",1,16,7,2,0,4,13,0.846153846153846,0.908382512879362,0.20765198940283
"18",1,17,2,0,0,12,14,1,0.840462518650725,0.176761700930337
"19",1,18,4,1,0,9,14,0.928571428571429,0.848845755979482,0.198690728066431
"20",1,19,11,0,0,2,13,1,0.636275302937148,0.260422917431594
"21",1,20,12,0,0,0,12,1,0.625655010377206,0.18520098627391
"22",1,21,7,1,2,3,13,0.769230769230769,0.747151652734195,0.0922387575482083
"23",1,22,7,0,0,5,12,1,0.898970708399751,0.22499692027504
"24",1,23,3,1,4,5,13,0.615384615384615,0.899215310673602,0.26248089834649
"25",1,24,5,0,0,8,13,1,0.889038568174169,0.333927503824297
"26",1,25,8,0,0,4,12,1,0.736386313823616,0.119575585922875
"27",1,26,9,0,0,4,13,1,0.545142669399335,0.0959158603705024
"28",1,27,8,0,0,4,12,1,0.87171628239156,0.389530246069479
"29",1,28,8,2,1,2,13,0.769230769230769,0.757167143444889,0.179715500265004
"30",1,29,3,2,2,6,13,0.692307692307692,0.859942307671001,0.234163912018323
"31",1,30,6,1,0,6,13,0.923076923076923,0.778441101714407,0.306100854992028
"32",1,31,3,0,0,10,13,1,0.721394086058353,0.12771814823016
"33",1,32,7,0,0,6,13,1,0.74895984381562,0.111966372811129
"34",1,33,3,1,4,5,13,0.615384615384615,0.759870295393208,0.200212421064844
"35",1,34,8,0,0,5,13,1,0.675863551172213,0.16250353520262
"36",1,35,2,0,0,10,12,1,0.748756588338665,9.45552208279031e-05
"37",2,0,3,0,0,9,12,1,0.649157128335096,0.0332976132991644
"38",2,1,9,0,0,4,13,1,0.761869205432336,0.077706545541292
"39",2,2,8,4,0,1,13,0.692307692307692,0.815588210613123,0.379803142238957
"40",2,3,3,0,0,10,13,1,0.459953295152834,0.0418906125761098
"41",2,4,10,1,0,2,13,0.923076923076923,1.00722200539051,0.109202647414102
"42",2,5,9,0,0,4,13,1,0.621708547385475,0.0702405370757123
"43",2,6,8,0,0,6,14,1,0.832931226212025,0.165457995364042
"44",2,7,3,0,0,10,13,1,0.882188336103866,0.101464097101277
"45",2,8,5,2,1,6,14,0.785714285714286,0.829008702749672,0.409533902440149
"46",2,9,2,0,0,12,14,1,0.86552937174244,0.259208304144018
"47",2,10,6,1,0,6,13,0.923076923076923,0.962895565695836,0.132588428578433
"48",2,11,7,1,1,5,14,0.857142857142857,0.994169347021463,0.141015848485705
"49",2,12,8,0,0,4,12,1,0.734368156406205,0.0922958566701728
"50",2,13,6,1,0,7,14,0.928571428571429,0.880193534631644,0.262046543453034
"51",2,14,4,1,1,6,12,0.833333333333333,0.65302309695457,0.0672272899588642
"52",2,15,1,0,0,12,13,1,0.482213711954728,NA
"53",2,16,5,0,0,9,14,1,0.685477839245345,0.0845016863977368
"54",2,17,6,1,0,7,14,0.928571428571429,0.786878773362389,0.145439367708818
"55",2,18,0,0,0,13,13,1,NA,NA
"56",2,19,2,0,0,11,13,1,0.65716370231047,0.0352710184271439
"57",2,20,2,0,1,10,13,0.923076923076923,1.05763960516305,0.152519919378541
"58",2,21,11,0,0,1,12,1,0.67770313113869,0.102320817934693
"59",2,22,7,0,0,6,13,1,0.889505691390517,0.206554059775697
"60",2,23,1,0,0,11,12,1,0.915471551628571,NA
"61",2,24,9,0,0,2,11,1,0.737257480937324,0.129175293510485
"62",2,25,8,0,0,4,12,1,0.517697807122005,0.0785810901377593
"63",2,26,8,0,0,4,12,1,0.729591243037348,0.18038331849309
"64",2,27,8,0,0,5,13,1,0.842652166812911,0.146256359338471
"65",2,28,3,2,1,7,13,0.769230769230769,0.641756375129148,0.0916255001104195
"66",2,29,10,1,0,2,13,0.923076923076923,0.815089464967002,0.179774235741621
"67",2,30,10,0,1,1,12,0.916666666666667,0.648873707650296,0.186974621556661
"68",2,31,3,0,0,10,13,1,0.459899867013178,0.0535484078738278
"69",2,32,9,0,0,4,13,1,0.835924832879401,0.198191896941019
"70",2,33,10,1,1,1,13,0.846153846153846,0.480579837186042,0.126351353541227
"71",2,34,2,0,0,11,13,1,0.656998437302377,0.152937627205927
"72",2,35,8,0,0,4,12,1,0.625902882734835,0.0660677635595995
"73",3,0,10,2,0,1,13,0.846153846153846,0.917177327995348,0.249166568720965
"74",3,1,0,0,0,13,13,1,NA,NA
"75",3,2,5,0,0,8,13,1,0.615542517479602,0.154558437633496
"76",3,3,6,0,0,7,13,1,0.929521089676465,0.222144452784382
"77",3,4,3,0,0,9,12,1,0.82658483608779,0.127247195846839
"78",3,5,2,0,0,11,13,1,0.907180983446025,0.176747613696496
"79",3,6,2,0,0,10,12,1,1.04882139637007,0.212198777962319
"80",3,7,12,0,0,0,12,1,0.957234497110901,0.1153315534218
"81",3,8,5,0,0,8,13,1,0.689047986015726,0.135849128325205
"82",3,9,3,0,0,10,13,1,0.87666199497454,0.10045885346407
"83",3,10,5,1,0,7,13,0.923076923076923,0.964558187017212,0.138929618777156
"84",3,11,3,0,0,10,13,1,0.665541959049866,0.0167478913394792
"85",3,12,10,1,0,2,13,0.923076923076923,0.693953866461658,0.219053159929155
"86",3,13,3,1,0,9,13,0.923076923076923,0.910316993881319,0.144250816075155
"87",3,14,2,0,0,10,12,1,0.790492266352231,0.0825029521489638
"88",3,15,4,0,0,8,12,1,1.10292659426401,0.383050396477172
"89",3,16,9,0,0,4,13,1,0.909433232752248,0.213564309130388
"90",3,17,1,0,0,12,13,1,0.648887472187994,NA
"91",3,18,4,0,0,9,13,1,0.761237945087316,0.220821814141146
"92",3,19,6,0,0,7,13,1,0.679326972466811,0.372570031089874
"93",3,20,3,1,0,9,13,0.923076923076923,0.77101353382064,0.141765563115734
"94",3,21,4,0,0,9,13,1,0.877977901880001,0.134226465276981
"95",3,22,12,1,0,0,13,0.923076923076923,0.778882789427816,0.196961994345664
"96",3,23,9,2,1,1,13,0.769230769230769,0.565600548891123,0.310387900807546
"97",3,24,6,0,0,7,13,1,0.61267662603412,0.110279323342904
"98",3,25,5,0,0,7,12,1,0.885717994204992,0.237575262290448
"99",3,26,8,0,0,4,12,1,0.921857610385715,0.105409950832904
"100",3,27,11,0,0,1,12,1,0.648861704841693,0.206180924958471
"101",3,28,10,0,0,2,12,1,0.482264212111522,0.11186491404695
"102",3,29,10,1,0,2,13,0.923076923076923,0.888867115161179,0.17971706372134
"103",3,30,5,0,0,7,12,1,0.672393861378396,0.193149690129929
"104",3,31,6,0,0,5,11,1,1.01543580206555,0.176706822438201
"105",3,32,6,0,0,6,12,1,0.712867769982893,0.103649800900828
"106",3,33,0,0,0,13,13,1,NA,NA
"107",3,34,6,0,0,7,13,1,0.907099231349169,0.242636043767389
"108",3,35,10,0,0,2,12,1,0.600459572556815,0.118267025205669
