"","X","ppid","targetoccurence","targetnumber","trialn","EoTScore1","TargetCount1","EoTScore2","TargetCount2","EoTScore3","TargetCount3"
"1",0,3,0.8,2,0,5,5,7,7,NA,NA
"2",1,3,0.2,3,1,0,0,0,0,0,0
"3",2,3,0.2,1,2,5,5,NA,NA,NA,NA
"4",3,3,0.6,2,3,5,4,2,2,NA,NA
"5",4,3,0.2,1,4,3,3,NA,NA,NA,NA
"6",5,3,0.2,3,5,1,1,1,1,0,0
"7",6,3,0.2,3,6,0,0,1,1,1,1
"8",7,3,0.8,2,7,6,6,7,6,NA,NA
"9",8,3,0.6,1,8,6,5,NA,NA,NA,NA
"10",9,3,0.4,2,9,1,1,2,2,NA,NA
"11",10,3,0.6,2,10,3,3,4,3,NA,NA
"12",11,3,0.2,1,11,3,3,NA,NA,NA,NA
"13",12,3,0.8,3,12,1,1,5,5,5,5
"14",13,3,0.4,2,13,1,1,5,3,NA,NA
"15",14,3,0.4,1,14,3,2,NA,NA,NA,NA
"16",15,3,0.6,3,15,1,1,3,3,0,0
"17",16,3,0.6,2,16,6,6,4,3,NA,NA
"18",17,3,0.2,2,17,1,1,0,0,NA,NA
"19",18,3,0.2,2,18,2,2,2,2,NA,NA
"20",19,3,0.6,1,19,6,6,NA,NA,NA,NA
"21",20,3,0.4,2,20,2,2,2,2,NA,NA
"22",21,3,0.4,1,21,5,4,NA,NA,NA,NA
"23",22,3,0.8,3,22,6,5,0,0,7,8
"24",23,3,0.8,1,23,10,11,NA,NA,NA,NA
"25",24,3,0.6,1,24,7,6,NA,NA,NA,NA
"26",25,3,0.4,3,25,1,1,1,1,3,3
"27",26,3,0.6,3,26,1,0,3,3,5,5
"28",27,3,0.8,2,27,2,2,10,9,NA,NA
"29",28,3,0.8,1,28,10,10,NA,NA,NA,NA
"30",29,3,0.8,3,29,2,2,3,3,6,6
"31",30,3,0.4,1,30,6,5,NA,NA,NA,NA
"32",31,3,0.6,3,31,2,2,4,3,1,1
"33",32,3,0.4,3,32,0,0,2,2,4,4
"34",33,3,0.2,2,33,0,0,0,0,NA,NA
"35",34,3,0.4,3,34,3,3,2,2,1,1
"36",35,3,0.8,1,35,10,10,NA,NA,NA,NA
"37",0,2,0.2,1,0,3,3,NA,NA,NA,NA
"38",1,2,0.8,1,1,10,9,NA,NA,NA,NA
"39",2,2,0.8,3,2,2,2,4,4,7,6
"40",3,2,0.4,1,3,3,3,NA,NA,NA,NA
"41",4,2,0.8,3,4,3,2,8,8,4,1
"42",5,2,0.6,1,5,10,9,NA,NA,NA,NA
"43",6,2,0.6,2,6,4,4,4,4,NA,NA
"44",7,2,0.2,2,7,1,1,2,2,NA,NA
"45",8,2,0.6,3,8,2,3,2,2,2,2
"46",9,2,0.2,3,9,0,0,0,0,2,2
"47",10,2,0.4,3,10,3,3,1,1,3,3
"48",11,2,0.6,2,11,3,2,7,6,NA,NA
"49",12,2,0.6,1,12,9,8,NA,NA,NA,NA
"50",13,2,0.4,2,13,5,5,2,2,NA,NA
"51",14,2,0.4,2,14,4,4,1,1,NA,NA
"52",15,2,0.2,1,15,1,1,NA,NA,NA,NA
"53",16,2,0.4,1,16,6,5,NA,NA,NA,NA
"54",17,2,0.6,3,17,1,1,1,1,6,5
"55",18,2,0.2,3,18,0,0,0,0,0,0
"56",19,2,0.2,2,19,2,2,0,0,NA,NA
"57",20,2,0.2,3,20,3,2,1,0,0,0
"58",21,2,0.6,1,21,10,11,NA,NA,NA,NA
"59",22,2,0.4,3,22,2,2,2,2,4,3
"60",23,2,0.2,2,23,0,0,1,1,NA,NA
"61",24,2,0.8,2,24,5,5,5,4,NA,NA
"62",25,2,0.8,1,25,9,8,NA,NA,NA,NA
"63",26,2,0.4,2,26,5,5,3,3,NA,NA
"64",27,2,0.8,2,27,4,4,5,4,NA,NA
"65",28,2,0.4,3,28,1,0,2,3,2,2
"66",29,2,0.6,3,29,3,3,3,3,6,5
"67",30,2,0.8,2,30,6,5,5,5,NA,NA
"68",31,2,0.4,1,31,4,3,NA,NA,NA,NA
"69",32,2,0.8,3,32,4,4,3,2,3,3
"70",33,2,0.8,1,33,10,11,NA,NA,NA,NA
"71",34,2,0.2,1,34,3,2,NA,NA,NA,NA
"72",35,2,0.6,2,35,3,3,6,5,NA,NA
"73",0,1,0.2,1,0,2,1,NA,NA,NA,NA
"74",1,1,0.8,1,1,9,9,NA,NA,NA,NA
"75",2,1,0.8,2,2,7,5,8,5,NA,NA
"76",3,1,0.6,3,3,4,3,4,4,7,4
"77",4,1,0.2,3,4,0,0,0,0,0,0
"78",5,1,0.2,2,5,2,2,3,2,NA,NA
"79",6,1,0.4,2,6,3,2,3,3,NA,NA
"80",7,1,0.4,3,7,2,3,2,3,4,2
"81",8,1,0.6,3,8,3,3,4,3,3,2
"82",9,1,0.4,3,9,3,2,2,3,4,2
"83",10,1,0.2,1,10,6,5,NA,NA,NA,NA
"84",11,1,0.6,3,11,2,3,7,2,3,6
"85",12,1,0.2,3,12,1,0,2,1,1,1
"86",13,1,0.4,1,13,5,4,NA,NA,NA,NA
"87",14,1,0.8,2,14,4,3,3,4,NA,NA
"88",15,1,0.8,3,15,5,4,4,4,7,3
"89",16,1,0.6,2,16,7,6,3,3,NA,NA
"90",17,1,0.2,2,17,3,2,0,0,NA,NA
"91",18,1,0.4,1,18,7,5,NA,NA,NA,NA
"92",19,1,0.8,3,19,2,1,6,1,6,9
"93",20,1,0.8,2,20,1,2,7,10,NA,NA
"94",21,1,0.6,1,21,7,8,NA,NA,NA,NA
"95",22,1,0.6,2,22,6,2,2,5,NA,NA
"96",23,1,0.4,3,23,2,1,5,1,3,2
"97",24,1,0.4,2,24,3,3,4,2,NA,NA
"98",25,1,0.8,1,25,9,8,NA,NA,NA,NA
"99",26,1,0.8,1,26,10,9,NA,NA,NA,NA
"100",27,1,0.4,2,27,7,6,2,2,NA,NA
"101",28,1,0.8,3,28,4,5,5,2,3,3
"102",29,1,0.6,2,29,4,3,3,2,NA,NA
"103",30,1,0.6,1,30,8,7,NA,NA,NA,NA
"104",31,1,0.2,1,31,6,3,NA,NA,NA,NA
"105",32,1,0.4,1,32,8,7,NA,NA,NA,NA
"106",33,1,0.2,3,33,5,2,3,0,4,2
"107",34,1,0.6,1,34,10,8,NA,NA,NA,NA
"108",35,1,0.2,2,35,0,0,2,2,NA,NA
